artist,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
friendzone,follow me,0.595,0.781,-4.959,0.0272,0.000202,0.847,0.121,0.306,140.005,4
action bronson,golden eye,0.584,0.904,-5.895,0.251,0.0571,0.0,0.399,0.374,149.99,0
420,untitled 5,0.766,0.537,-9.729,0.0859,0.384,0.862,0.109,0.946,99.305,4
tom misch,nightrider,0.729,0.571,-9.188,0.0869,0.0774,0.213,0.0994,0.582,81.486,3
mansur brown,it's my time,0.414,0.548,-8.836,0.0655,0.0396,0.642,0.257,0.35,87.022,4
yaeji,what we drew 우리가 그려왔던,0.709,0.505,-6.45,0.0331,0.248,0.293,0.166,0.591,135.01,3
thundercat,dragonball durag - remix,0.626,0.597,-9.943,0.33,0.614,1.53e-05,0.122,0.578,80.985,2
dinamarca,harpeggio,0.679,0.323,-6.665,0.129,0.785,0.926,0.141,0.287,159.831,4
dj phil,vivid dreams,0.609,0.867,-7.946,0.121,0.00225,0.653,0.363,0.269,160.006,4
jai paul,genevieve - unfinished,0.549,0.727,-7.629,0.171,0.000748,0.00013,0.191,0.119,82.122,0
ryba,girls,0.597,0.795,-6.259,0.0286,0.0225,0.843,0.154,0.723,120.049,4
solange,almeda,0.827,0.553,-5.296,0.032,0.0227,1.52e-05,0.176,0.0631,110.015,0
dreamcastmoe,used2,0.82,0.672,-10.275,0.05,0.0602,0.101,0.183,0.878,135.979,3
les sins,toy,0.893,0.739,-8.955,0.0803,0.243,0.882,0.153,0.532,130.025,4
lilocox,fronteiras,0.763,0.923,-5.251,0.0494,0.0217,0.842,0.0986,0.811,129.995,4
yaeji,one more,0.83,0.387,-12.418,0.139,0.539,0.0,0.075,0.497,117.993,3
kaytranada,it was meant 2 b,0.827,0.577,-8.119,0.202,0.00238,0.259,0.154,0.489,94.908,3
off the meds,currency low,0.736,0.679,-12.365,0.216,0.222,0.018,0.13,0.732,119.021,3
james blake,love what happened here,0.83,0.535,-6.41,0.067,0.524,0.873,0.0966,0.408,139.979,4
darkside,gone too soon,0.849,0.392,-12.22,0.0658,0.366,0.881,0.112,0.26,106.003,4
against all logic,flash in the pan,0.802,0.602,-8.466,0.0458,0.191,0.811,0.106,0.135,116.003,4
against all logic,if loving you is wrong,0.73,0.903,-6.24,0.041,0.517,0.161,0.635,0.721,108.006,5
kapote,temptation,0.83,0.502,-10.856,0.104,0.105,0.691,0.132,0.148,114.991,4
