artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
U2,When Love Comes To Town,0.65,0.665,9.0,-11.259,1.0,0.0372,0.0526,4.62e-06,0.13,0.593,115.51,spotify:track:0rkcFGA6XEVd2XV2JI6msk,254267.0,4.0
George Thorogood & The Destroyers,Bad To The Bone,0.459,0.727,0.0,-11.777,1.0,0.0303,0.00614,0.0652,0.384,0.955,149.231,spotify:track:6s0NHplywwr1IjnQpUpWJk,292173.0,1.0
Eric Clapton,Cocaine,0.699,0.502,9.0,-12.526,1.0,0.0278,0.0607,0.0337,0.317,0.676,105.267,spotify:track:2udGjDmpK1dH9VGyw7nrei,221640.0,4.0
Albert King,Born Under A Bad Sign - Mono Mix,0.711,0.483,11.0,-11.211,1.0,0.0298,0.434,0.012,0.0284,0.884,91.652,spotify:track:3ocm1Cf1Dk1ODrdBdybh82,169998.0,4.0
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,0.723,0.863,2.0,-7.89,1.0,0.0338,0.0383,0.0317,0.128,0.931,136.302,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,222813.0,4.0
The Band,The Night They Drove Old Dixie Down - Remastered 2000,0.507,0.493,0.0,-8.786,1.0,0.0327,0.453,0.0,0.241,0.467,127.671,spotify:track:2x0supcZhd6NEH1nem9DnR,213267.0,4.0
Tame Impala,Elephant,0.594,0.555,9.0,-6.689,0.0,0.0377,0.541,0.151,0.286,0.52,123.069,spotify:track:6HqWcIutC3Bwk6awM1jnGP,211227.0,4.0
Chuck Berry,Johnny B. Goode,0.533,0.871,10.0,-6.085,1.0,0.0656,0.759,0.000186,0.337,0.97,167.841,spotify:track:4GHF75LwRT2Hsv9z3ZXpM8,159427.0,4.0
Creedence Clearwater Revival,Fortunate Son,0.643,0.669,0.0,-7.485,1.0,0.0398,0.208,0.00664,0.151,0.609,132.709,spotify:track:3yI282DoIJyERd0vGukMoB,140773.0,4.0
Little Richard,Long Tall Sally (The Thing),0.474,0.598,5.0,-5.023,1.0,0.0973,0.768,0.0,0.0841,0.917,184.484,spotify:track:6qb0O5HW7H4q6R0AbP38Ko,131853.0,4.0
Allman Brothers Band,Midnight Rider,0.395,0.535,7.0,-9.562,1.0,0.033,0.214,0.0167,0.196,0.679,189.139,spotify:track:5RfhUFcQBeonzqLRhU8gvK,180067.0,4.0
Jake Bugg,Lightning Bolt,0.561,0.846,9.0,-4.48,1.0,0.0867,0.0634,0.0,0.193,0.75,116.168,spotify:track:5s9sZ2i76iAZeFt5f9uUKP,144013.0,4.0
Cream,Sunshine Of Your Love,0.684,0.482,2.0,-12.59,1.0,0.0384,0.475,7.32e-05,0.118,0.785,115.066,spotify:track:2BcvvHttiZRvguFM4hR398,250000.0,4.0
The Black Keys,Tighten Up,0.459,0.708,6.0,-6.167,0.0,0.0681,0.00142,4.44e-06,0.485,0.583,108.952,spotify:track:2I3CLotxmAz4SgJDU9yFjl,211040.0,4.0
The White Stripes,The Air Near My Fingers,0.469,0.735,7.0,-7.011,1.0,0.0395,0.323,6.35e-05,0.372,0.399,93.924,spotify:track:03ZIYIkSXFEe8eKeG6qzE8,220347.0,4.0
Jamie N Commons,Rumble And Sway,0.645,0.821,1.0,-4.912,1.0,0.248,0.106,5.38e-05,0.137,0.682,79.986,spotify:track:5aagC9VbZrcwYUZDhgC8Ej,185533.0,4.0
Led Zeppelin,I Can't Quit You Baby - Remaster,0.529,0.452,2.0,-12.593,1.0,0.136,0.534,0.000151,0.301,0.539,78.196,spotify:track:4OQjzsqsnSy4YPB9yaRh0f,282721.0,3.0
Tom Petty and the Heartbreakers,Mary Jane's Last Dance,0.402,0.814,10.0,-4.954,1.0,0.14,0.0383,1.19e-06,0.266,0.516,170.02,spotify:track:5eYwDBLucWfWI5KsV7oYX2,272267.0,4.0
Albert King,Travelin' Man,0.671,0.758,7.0,-6.999,1.0,0.126,0.206,0.00754,0.0408,0.868,102.17,spotify:track:0fUeXvuwXDKRNqvrxveHWF,173373.0,4.0
Black Joe Lewis & The Honeybears,Black Snake,0.78,0.711,0.0,-4.362,1.0,0.0294,0.00964,0.0016,0.144,0.97,104.694,spotify:track:3bre1AeDLj7UFDj3VO12Tb,182880.0,4.0
The Commitments,Mustang Sally,0.744,0.735,1.0,-10.766,1.0,0.0587,0.011,0.0,0.0564,0.891,115.062,spotify:track:1XlCCgKKrQQfXaDyv4GrZe,241867.0,4.0
Dire Straits,Sultans of Swing,0.73,0.868,5.0,-7.325,1.0,0.0288,0.0632,0.0661,0.318,0.923,148.217,spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,350400.0,4.0
JD McPherson,Head Over Heels,0.867,0.899,0.0,-5.334,1.0,0.0354,0.101,0.00473,0.125,0.932,128.062,spotify:track:2Rtya81WOGAAQNoCMRmJRD,197520.0,4.0
Elbow,Grounds for Divorce,0.526,0.756,2.0,-5.083,0.0,0.0266,0.4,2.39e-06,0.426,0.668,91.985,spotify:track:27rgTetikreqkvedaxrF5N,219453.0,4.0
Free,All Right Now,0.781,0.484,2.0,-12.853,1.0,0.087,0.247,0.000138,0.147,0.804,119.993,spotify:track:4iFiqGqxaEQzm1CfoGVZib,330643.0,4.0
Tom Petty and the Heartbreakers,Runnin' Down A Dream,0.438,0.966,9.0,-6.103,1.0,0.0445,0.000442,0.463,0.691,0.713,169.798,spotify:track:6bxqVA0hflgfiVxdBcs7KY,262693.0,4.0
